name,team,position,signed,extended,age at signing/extension,offseason_of_new_contract,new_contract_AAV,games_played,minutes,pts,fgm,fga,fgperc,3pm,3pa,3pperc,ftm,fta,ftperc,oreb,dreb,reb,ast,tov,stl,blk,pf,tsperc,usage,bs_rap_o,bs_rap_d,bs_rap_t,onoff_rap_o,onoff_rap_d,onoff_rap_t,ovr_rap_o,ovr_rap_d,ovr_rap_t,rap_war
Trae Young,Atlanta Hawks,PG,0,1,22,2021,35380000,63,33.7,25.3,7.7,17.7,43.8,2.2,6.3,34.3,7.7,8.7,88.6,0.6,3.3,3.9,9.4,4.1,0.8,0.2,1.8,58.9,32,5.4,-3.2,1.6,6.5,-2.4,4.1,6,-3.8,2.2,5.5
John Collins,Atlanta Hawks,PF,0,1,23,2021,25000000,63,29.3,17.6,6.8,12.2,55.6,1.3,3.3,39.9,2.7,3.2,83.3,1.9,5.5,7.4,1.2,1.3,0.5,1,3.1,64.5,21.4,1.3,1,2.3,2.9,0.3,3.2,1.7,0.9,2.6,5
Danilo Gallinari,Atlanta Hawks,PF,1,0,31,2020,20475000,62,29.6,18.7,5.8,13.2,43.8,2.9,7.1,40.5,4.3,4.8,89.3,0.5,4.6,5.2,1.9,1.2,0.7,0.1,1.2,61.2,24.2,3.5,0,3.5,6.4,-5,1.3,4.3,-1.1,3.2,5.6
Clint Capela,Atlanta Hawks,C,0,1,26,2021,22940640,63,30.1,15.2,6.6,11,59.4,0,0,0,2.1,3.6,57.3,4.7,9.6,14.3,0.8,1.2,0.7,2,2.3,60.1,19.3,0.8,5.1,5.9,3.1,3.9,7,1.3,5.1,6.4,8.8
Bogdan Bogdanovic,Atlanta Hawks,SG,1,0,27,2020,18000000,61,28.9,15.1,5.5,12.6,44,2.7,7.2,37.2,1.4,1.9,74.1,0.4,3,3.4,3.4,1.7,1,0.2,2.2,56.5,22.1,1.9,-0.4,1.5,0.1,-0.3,-0.2,1.6,-0.4,1.2,3.6
Kevin Huerter,Atlanta Hawks,SG,0,1,22,2021,16250000,29,30.8,11.9,4.6,10.6,43.2,2,5.6,36.3,0.7,0.9,78.1,0.6,2.8,3.3,3.5,1.1,1.2,0.3,2.4,54.1,16.7,0,-0.1,-0.1,-0.6,-0.4,-1,-0.2,-0.1,-0.3,2.7
Delon Wright,Atlanta Hawks,PG,1,0,29,2020,8000000,73,21.5,6.9,2.6,5.6,46.2,0.6,1.7,37,1.1,1.4,77,1,2.9,3.8,3.3,1,1.2,0.3,1.3,55.4,14,1,0.4,1.4,-1.8,0.5,-1.4,0.4,0.5,0.9,2.9
Lou Williams,Atlanta Hawks,SG,1,0,35,2021,5000000,66,21.6,11.3,4,9.8,41,1,2.6,39.9,2.3,2.6,86.7,0.3,1.8,2.1,3.4,1.6,0.7,0.1,0.9,51.9,24.4,0.9,-3.7,-2.8,-1.3,-1.8,-3.1,0.4,-3.5,-3.1,-0.3
Gorgui Dieng,Atlanta Hawks,C,1,0,32,2021,4000000,38,14.5,6.8,2.2,4.3,52.1,0.8,1.8,42.9,1.5,1.8,86.6,1.1,2.6,3.7,1.3,0.8,0.7,0.4,1.5,67,16.9,1.4,-0.8,0.6,-1.3,-1.7,-3,0.9,-1.1,-0.1,0.7
Timothe Luwawu-Cabarrot,Atlanta Hawks,SF,1,0,26,2021,1939350,58,18.1,6.4,2.2,6.1,36.5,1.3,4.1,31.4,0.6,0.7,81.4,0.5,1.7,2.2,1.2,0.7,0.6,0.1,1.7,49.3,16.5,-1.5,-1,-2.5,-1.5,-0.6,2.1,-1.7,-1,-2.6,0.1
Aaron Holiday,Atlanta Hawks,PG,1,0,25,2022,1968175,63,16.2,6.3,2.4,5.4,44.7,0.6,1.6,37.9,0.9,1.1,86.8,0.4,1.6,1.9,2.4,1.1,0.7,0.1,1.5,54.4,18.2,0.2,-0.1,0.1,-2,0.7,-1.3,-0.2,0.1,-0.1,1.4
Frank Kaminsky,Atlanta Hawks,C,1,0,29,2022,2463490,9,20.1,10.6,4,7.3,54.5,0.6,1.7,33.3,2,2.2,90,1.2,3.3,4.6,1.4,0.6,0.9,0.8,1.6,63.5,18.5,-1.1,9,7.1,-6.3,6.7,0.4,-2.3,9,6.7,0.9
De'Andre Hunter,Atlanta Hawks,SF,0,1,24,2022,22500000,53,29.8,13.4,4.8,10.8,44.2,1.4,3.7,37.9,2.4,3.1,76.5,0.5,2.8,3.3,1.3,1.3,0.7,0.4,2.9,54.7,19.4,-1.8,0.1,-1.7,-1.7,-1.6,-3.2,-1.9,-0.2,-2.1,0.5
Jayson Tatum,Boston Celtics,SF,0,1,21,2020,32600060,66,34.3,23.4,8.4,18.6,45,2.9,7.1,40.3,3.8,4.7,81.2,1,6,7,3,2.3,1.4,0.9,2.1,56.7,28,3.1,1.2,4.3,3.7,3.9,7.6,3.4,1.8,5.2,9.2
Jaylen Brown,Boston Celtics,SG,0,1,22,2019,26583334,74,25.9,23.6,8.7,18.4,47.3,2.5,7,35.8,3.7,4.8,75.8,0.8,5.3,6.1,3.5,2.7,1.1,0.3,2.5,54.7,21.5,-1.3,0.5,-0.8,-2.5,0.4,-2.1,-1.7,0.5,-1.2,1.5
Al Horford,Boston Celtics,C,1,0,32,2019,24250000,68,29,13.6,5.7,10.6,53.5,1.1,3,36,1.1,1.4,82.1,1.8,5,6.7,4.2,1.5,0.9,1.3,1.9,60.5,18.8,0.8,1.8,2.6,3.8,-0.2,3.6,1.5,1.4,2.9,5.6
Marcus Smart,Boston Celtics,PG,0,1,26,2021,19121999,48,32.9,13.1,4.2,10.6,39.8,1.9,5.9,33,2.7,3.4,79,0.8,2.7,3.5,5.7,2,1.5,0.5,2.6,53.9,17.9,0.5,0.7,1.2,2.1,-1.3,0.8,0.9,0.4,1.2,3.2
Derrick White,Boston Celtics,PG,0,1,25,2020,17500000,68,24.7,11.3,3.7,8.1,45.8,1.2,3.2,36.6,2.6,3.1,85.3,0.5,2.8,3.3,3.5,1.3,0.6,0.9,2.2,59.3,18.3,1.8,2,3.8,-1.6,2.2,0.6,1.2,2.2,3.4,5.3
Robert Williams III,Boston Celtics,C,0,1,23,2021,12000000,52,18.9,8,3.6,5,72.1,0,0,0,0.9,1.4,61.6,2.6,4.3,6.9,1.8,1,0.8,1.8,2,71.9,14.5,0.4,0.2,0.7,1.9,-1.6,0.2,0.7,-0.1,0.6,1.7
Daniel Theis,Boston Celtics,C,1,0,28,2021,8901378,65,24.6,9.6,3.9,7.2,54.1,0.8,2.3,32.2,1.1,1.7,67.3,1.4,4,5.5,1.7,1,0.6,0.9,2.6,60.9,15.4,-1.5,2,0.6,-0.8,-0.3,-1.1,-1.4,1.7,0.2,2.4
Blake Griffin,Boston Celtics,PF,1,0,33,2022,2905851,56,17.1,6.4,2.4,5.6,42.5,0.7,2.6,26.2,1,1.4,72.4,1.1,3,4.1,1.9,0.6,0.5,0.3,1.7,51.8,16.7,-0.7,5.3,4.6,-2.5,-2.4,-4.9,-1.2,4,2.9,2.9
Sam Hauser,Boston Celtics,SF,1,0,24,2022,1886069,26,6.1,2.5,0.9,1.9,46,0.7,1.7,43.2,0,0,0,0.2,0.9,1.1,0.4,0.1,0,0.1,0.3,65,13.6,3.8,0.1,3.8,-1.6,2.5,0.9,2.8,0.5,3.3,0.5
Luke Kornet,Boston Celtics,C,1,0,26,2022,2273291,15,6.9,2,0.9,1.8,48.1,0,0.3,0,0.3,0.4,66.7,0.9,1.1,1.9,0.6,0,0.2,0.2,0.6,50.6,11.2,1.6,1.7,3.2,7.5,1.3,8.7,2.8,1.5,4.4,0.4
Kevin Durant,Brooklyn Nets,SF,1,0,32,2021,48554830,35,33.1,26.9,9.3,17.2,53.7,2.4,5.4,45,6,6.8,88.2,0.4,6.7,7.1,5.6,3.4,0.7,1.3,3,66.6,30.3,5.6,-0.6,5,5.5,1.3,6.8,5.8,-0.2,5.6,5
Kyrie Irving,Brooklyn Nets,PG,1,0,26,2019,34122650,67,33,23.8,9,18.5,48.7,2.6,6.5,40.1,3.2,3.7,87.3,1.1,3.9,5,6.9,2.6,1.5,0.5,2.5,59.2,28.6,5.6,1.1,6.7,3.9,0.7,4.6,5.5,1.1,6.6,10.7
Ben Simmons,Brooklyn Nets,PG,0,1,22,2019,35448672,79,34.2,16.9,6.8,12.2,56.3,0,0.1,0,3.3,5.4,60,2.2,6.6,8.8,7.7,3.5,1.4,0.8,2.6,58.2,21.5,0.9,-1.2,-0.3,0.2,-1.6,-1.4,0.8,-1.4,-0.6,3
Joe Harris,Brooklyn Nets,SG,1,0,28,2020,18750000,69,30.8,14.5,5.5,11.4,48.6,2.5,5.9,42.4,0.9,1.3,71.9,0.9,3.4,4.3,2.1,1.5,0.6,0.2,2.3,60.6,17.9,0.3,-1.5,-1.3,3.5,-2.4,1.1,1,-1.8,-0.8,2.1
Seth Curry,Brooklyn Nets,SG,1,0,28,2019,8000000,74,18.9,7.9,2.9,6.3,45.6,1.5,3.4,45,0.6,0.7,84.6,0.4,1.3,1.6,0.9,0.8,0.5,0.2,1.3,59.5,16.4,-0.1,-0.3,-0.4,-1.6,1.5,-0.1,-0.5,0.1,-0.4,1.6
Patty Mills,Brooklyn Nets,PG,0,1,32,2021,6037250,68,24.8,10.8,3.7,9,41.2,2.4,6.3,37.5,1,1.1,91,0.3,1.4,1.7,2.4,1,0.6,0,1.2,57,17.7,0.5,-1.9,-1.4,-3.9,6.9,3,-0.4,-0.2,-0.6,1.8
LaMarcus Aldridge,Brooklyn Nets,C,1,0,36,2021,2641691,26,25.9,13.5,5.4,11.4,47.3,1.2,3.1,38.8,1.6,1.8,87.2,0.7,3.8,4.5,1.9,1,0.4,1.1,1.8,55.6,22.4,-2.7,-0.6,-3.2,-0.6,-1.8,-2.5,-2.4,-0.8,-3.3,-0.2
Andre Drummond,Brooklyn Nets,C,1,0,28,2021,2401537,46,27,14.9,6.1,12.4,49.3,0,0.2,0,2.7,4.5,60,3.6,8.4,12,2,2.7,1.4,1.1,3.2,57.4,18.1,-2.6,2.8,0.3,0.8,0,0.7,-1.9,2.4,0.5,2.1
Kessler Edwards,Brooklyn Nets,SF,1,0,21,2022,1782931,48,20.6,5.9,2.3,5.6,41.2,1,2.8,35.3,0.3,0.4,84.2,0.9,2.7,3.6,0.6,0.9,0.6,0.5,1.8,51.6,13.2,-2.7,-1.3,-4,1.3,-3.7,-2.3,-2,-1.9,-3.9,-0.6
Nic Claxton,Brooklyn Nets,C,1,0,23,2022,8625000,47,20.7,8.7,3.8,5.6,67.4,0,0,0,1.1,2,58.1,1.9,3.7,5.6,0.9,0.8,0.5,1.1,2.3,67.2,15,-1.3,1.6,0.3,-0.8,1.2,0.4,-1.4,1.6,0.3,1.7
Edmond Sumner,Brooklyn Nets,PG,1,0,26,2022,2104059,53,16.2,7.5,2.8,5.3,52.5,0.7,1.7,39.8,1.3,1.6,81.9,0.3,1.4,1.8,0.9,1,0.6,0.2,1.7,62.6,17.6,-1.6,-1.3,-2.9,1.2,-3.2,-2,-1.1,-1.8,-2.9,-0.1
Gordon Hayward,Charlotte Hornets,SF,1,0,29,2020,30000000,52,33.5,17.5,6.7,13.5,50,1.6,4.3,38.3,2.4,2.8,85.5,1.1,5.6,6.7,4.1,1.8,0.7,0.4,1.8,59.5,20.6,1.6,-1.4,0.2,2.7,1.7,4.4,1.9,-0.8,1,3.4
Terry Rozier,Charlotte Hornets,SG,0,1,26,2021,24064674,69,34.5,20.4,7.4,16.4,45,3.2,8.3,38.9,2.4,2.9,81.7,0.7,3.7,4.4,4.2,1.9,1.3,0.4,1.7,57.5,23.8,2.4,-0.5,1.9,3,-3.4,-0.5,2.7,-1.2,1.6,5.2
Kelly Oubre Jr,Charlotte Hornets,SF,1,0,25,2021,12300000,55,30.7,15.4,5.8,13.2,43.9,1.6,5.2,31.6,2.2,3.2,69.5,1.5,4.5,6,1.3,1.3,1,0.8,2.2,52.9,21.5,-2.6,1.5,-1,-7.8,-0.8,-8.6,-3.8,1.1,-2.7,0.1
Mason Plumlee,Charlotte Hornets,C,1,0,29,2020,8220833,61,17.3,7.2,2.9,4.7,61.5,0,0.1,0,1.4,2.5,53.5,1.6,3.6,5.2,2.5,1.3,0.5,0.6,2.3,61.3,17.3,-0.1,-0.4,-0.5,-0.9,-0.9,-1.8,-0.3,-0.5,-0.8,1
Montrezl Harrell,Charlotte Hornets,C,1,0,27,2020,9489450,63,27.8,18.6,7.5,12.9,58,0,0.3,0,3.7,5.6,65.8,2.6,4.5,7.1,1.7,1.7,0.6,1.1,2.3,60.7,24.5,0.9,3.9,4.9,-0.4,1.5,1.1,0.7,3.6,4.3,6.3
Cody Martin,Charlotte Hornets,SF,1,0,26,2022,7840000,71,26.3,7.7,2.9,6,48.2,0.9,2.2,38.4,1.1,1.5,70.1,1.2,2.9,4,2.5,0.9,1.2,0.5,1.6,57.9,12,0.1,1.5,1.6,1.3,-1.8,-0.4,0.3,0.9,1.3,3.8
PJ Washington,Charlotte Hornets,SF,0,1,21,2019,3076740,60,32.9,15.3,5.8,13,44.4,2,5.8,38.5,1.7,2.3,74.8,1,3.7,4.7,2.4,1.4,0.9,1.1,2.7,55,20.2,-0.8,-0.6,-1.4,-1.2,0.6,-0.6,-0.9,-0.4,-1.3,1.9
Dennis Smith Jr.,Charlotte Hornets,SG,1,0,25,2022,2133278,37,17.3,5.6,2.1,5.1,41.8,0.2,0.7,22.2,1.1,1.7,65.6,0.5,1.8,2.3,3.6,1.4,1.2,0.3,1.4,47,19,-0.8,-0.6,-1.4,-1.2,0.6,-0.6,-0.9,-0.4,-1.3,1.9
DeMar DeRozan,Chicago Bulls,SF,1,0,31,2021,27300000,61,33.7,21.6,7.5,15.1,49.5,0.3,1.2,25.7,6.3,7.2,88,0.7,3.6,4.2,6.9,2,0.9,0.2,2.1,59.1,25.5,3.6,-2.1,1.5,2.3,-5.4,-3.1,3.6,-2.9,0.6,3.5
Nikola Vucevic,Chicago Bulls,C,0,1,28,2019,25000000,80,31.4,20.8,8.8,16.9,51.8,1.1,2.9,36.4,2.2,2.8,78.9,2.8,9.2,12,3.8,2,1,1.1,2,57.3,27.6,1,3.6,4.7,4.3,1.9,6.2,1.8,3.5,5.2,10.2
Zach LaVine,Chicago Bulls,SG,1,0,23,2019,19500000,63,34.5,23.7,8.4,18,46.7,1.9,5.1,37.4,5,6,83.2,0.6,4,4.7,4.5,3.4,1,0.4,2.2,57.4,29.8,1.3,-2.6,-1.3,0.2,-0.5,-0.3,1.3,-2.3,-1,1.9
Lonzo Ball,Chicago Bulls,PG,1,0,23,2021,20000000,55,31.8,14.6,5.3,12.7,41.4,3.1,8.3,37.8,0.9,1.2,78.1,0.6,4.2,4.8,5.7,2.2,1.5,0.6,1.9,55.1,20.2,1.1,0.3,1.3,2.6,0.7,3.3,1.4,0.4,1.8,4.1
Alex Caruso,Chicago Bulls,SG,1,0,26,2021,9245000,58,21,6.4,2.3,5.3,43.6,0.9,2.4,40.1,0.8,1.3,64.5,0.5,2.4,2.9,2.8,1.3,1.1,0.3,1.9,54.7,14.4,-1.1,3.9,2.8,-2.1,5.3,3.1,-1.3,4.4,3,3.6
Tony Bradley,Chicago Bulls,C,1,0,23,2021,1912787,42,16.3,7.1,3.1,4.7,66.5,0,0.1,0,0.9,1.3,69.1,2,3.7,5.7,0.9,0.8,0.4,0.7,1.5,67.8,15.4,0.1,1.2,1.4,2.2,-1.4,0.8,0.7,0.8,1.4,1.4
Javonte Green,Chicago Bulls,SG,1,0,27,2021,1742428,41,11.6,3.6,1.3,2.5,52,0.2,0.7,33.3,0.7,1,75,0.6,1.1,1.7,0.4,0.5,0.7,0.1,1.1,61,12.2,-0.4,0.9,0.5,1,1.5,2.5,-0.1,1,0.9,0.9
Matt Thomas,Chicago Bulls,SG,1,0,27,2021,1669178,45,7.3,3.1,1.1,2.8,39.4,0.6,1.8,33.8,0.3,0.3,85.7,0.2,0.8,1,0.4,0.3,0.1,0,0.4,52.2,18.7,-1.8,-5.1,-6.8,-7.4,-2.6,-10,-3.1,-4.9,-8,-0.9
Goran Dragic,Chicago Bulls,PG,1,0,36,2022,2905851,21,23.7,7.5,2.7,7.2,37.7,0.8,3,25.4,1.3,1.6,81.8,0.6,2.5,3.1,4.1,1.6,0.9,0.2,2.1,47.4,16.6,-0.8,-0.3,-1.1,2.2,-0.6,1.6,-0.3,-0.4,-0.6,0.6
Kevin Love,Cleveland Cavaliers,C,0,1,29,2018,30100543,59,28,17.6,5.7,12.4,45.8,2.3,5.6,41.5,4,4.5,88,1.7,7.5,9.3,1.7,1.5,0.7,0.4,2,61.4,24.8,2.9,-0.8,2.1,1,-1.2,-0.2,2.6,-0.9,1.8,3.8
Jarrett Allen,Cleveland Cavaliers,C,1,0,22,2021,20000000,63,29.6,12.8,4.7,7.7,61.8,0.1,0.3,31.6,3.2,4.6,70.3,3.1,6.9,10,1.7,1.6,0.5,1.4,1.5,66.1,16.3,-0.8,2.3,1.5,-0.4,-1.4,-1.8,-0.7,1.7,1,3.5
Caris LeVert,Cleveland Cavaliers,SG,0,1,24,2019,17500000,40,26.6,13.7,5.2,12.1,42.9,1.2,3.9,31.2,2.1,3.1,69.1,0.9,2.9,3.8,3.9,1.7,1.1,0.4,1.9,50.9,23.5,0.3,1.7,2.1,0.4,0.7,1.1,0.4,0.6,4,2.6
Lauri Markkanen,Cleveland Cavaliers,PF,1,0,23,2021,16867727,51,25.8,13.6,4.9,10.2,48,2.3,5.8,40.2,1.5,1.8,82.6,0.7,4.6,5.3,0.9,1,0.5,0.3,1.5,61.9,19.7,0.1,-0.9,-0.8,-2.9,-0.6,-3.5,-0.5,-0.9,-1.4,0.9
Cedi Osman,Cleveland Cavaliers,SF,0,1,23,2019,7779711,76,32.2,13,4.7,11.1,42.7,1.7,4.9,34.8,1.9,2.4,77.9,0.6,4.1,4.7,2.6,1.5,0.8,0.1,2.6,53.6,18.2,-1.1,-2.1,-3.2,-0.8,-5.6,-6.4,-1.1,-2.8,-3.9,-1.5
Dean Wade,Cleveland Cavaliers,PF,1,0,23,2020,1782621,12,6,1.7,0.8,1.1,69.2,0.2,0.3,50,0,0.1,0,0.3,1.3,1.6,0.2,0.3,0.2,0.3,0.7,74.4,9.1,-3.1,-3.4,-6.5,-1.8,0,-1.8,-2.9,2.7,-5.7,-0.1
Lamar Stevens,Cleveland Cavaliers,PF,1,0,23,2021,1782621,40,12.5,4.1,1.6,3.4,45.6,0.1,0.6,16,0.9,1.3,72.5,0.6,1.8,2.4,0.6,0.6,0.4,0.3,1.3,52.1,15.2,-3.5,-0.5,-4,-4.1,0.8,-3.3,-3.8,-0.2,-4,-0.3
Ed Davis,Cleveland Cavaliers,C,1,0,32,2021,2641691,23,13,2.1,0.8,1.9,43.2,0,0,0,0.4,0.5,83.3,2,3,5,0.9,0.3,0.6,0.6,2.4,48.7,7.8,-2.4,-4.3,-6.7,-5.9,4.9,-1.1,-3.3,-2.5,-5.9,-0.5
Rajon Rondo,Cleveland Cavaliers,PG,1,0,35,2021,2641691,45,17.1,5.4,2.1,4.8,44.2,0.8,2,40.4,0.4,0.4,94.1,0.4,2,2.4,4.4,1.8,0.8,0.1,1.2,54.4,16.6,-0.4,-1.6,-1.9,-2.2,0.6,-1.6,-0.8,-1.2,-2,0.3
Darius Garland,Cleveland Cavaliers,PG,0,1,22,2022,38860000,68,35.7,21.7,8,17.3,46.2,2.6,6.7,38.3,3.2,3.5,89.2,0.6,2.7,3.3,8.6,3.6,1.3,0.1,1.7,57.6,27.2,3.9,-0.8,3,7,2.3,9.3,4.8,-0.3,4.5,9
Luka Doncic,Dallas Mavericks,PG,0,1,21,2021,42456000,66,34.3,27.7,9.8,20.5,47.9,2.9,8.3,35,5.2,7.1,73,0.8,7.2,8,8.6,4.3,1,0.5,2.3,58.7,35,6.4,-1,5.5,4.5,-1.4,3,6.3,-1.1,5.2,9.3
Tim Hardaway Jr,Dallas Mavericks,SG,1,0,28,2021,18750000,70,28.4,16.6,5.8,13,44.7,3,7.6,39.1,2,2.5,81.6,0.3,3,3.3,1.8,0.9,0.4,0.2,1.6,58.9,23,1.9,0.5,2.3,0,-2.3,-2.3,1.6,-0.1,1.5,4.3
Spencer Dinwiddie,Dallas Mavericks,PG,1,0,27,2021,18000000,64,31.2,20.6,6.6,16,41.5,1.9,6.3,30.8,5.4,7,77.8,0.5,3,3.5,6.8,2.7,0.6,0.3,2.8,54.1,28.7,3.3,-2.3,1,2.4,-1,1.4,3.4,-2.2,1.2,4
Davis Bertans,Dallas Mavericks,SF,1,0,27,2020,16000000,54,29.3,15.4,4.9,11.3,43.4,3.7,8.7,42.4,1.9,2.3,85.2,0.6,3.9,4.5,1.7,1.1,0.7,0.6,2.6,62.8,18.3,2.2,-0.5,1.7,4.5,-1.4,3.1,2.8,-0.6,2.2,4.1
Dorian Finney-Smith,Dallas Mavericks,SF,0,1,28,2021,13890240,60,32,9.8,3.7,7.8,47.2,2,5,39.4,0.5,0.7,75.6,1.6,3.8,5.4,1.7,0.8,0.9,0.4,2.3,60.9,12,-0.6,1,0.4,4.2,-0.2,4,0.3,0.8,1.2,3.8
Dwight Powell,Dallas Mavericks,C,0,1,27,2019,11080125,77,21.6,10.6,3.8,6.3,59.7,0.5,1.6,30.7,2.5,3.3,77.2,1.8,3.5,5.3,1.5,0.9,0.6,0.6,2.6,68.2,16.7,1.4,0.2,1.5,5.1,-2.5,2.6,2.2,-0.4,1.9,3.9
Reggie Bullock,Dallas Mavericks,SF,1,0,29,2021,10012800,65,30,10.9,3.8,8.6,44.2,2.5,6.1,41,0.8,0.8,90.9,0.2,3.2,3.4,1.5,0.7,0.8,0.2,2.2,60.6,14,-0.2,-0.4,-0.6,-0.2,0,-0.2,-0.2,-0.3,-0.6,2.2
Maxi Kleber,Dallas Mavericks,PF,1,0,27,2019,8900000,71,21.2,6.8,2.5,5.4,45.3,1.1,3.1,35.3,0.8,1,78.4,1.3,3.4,4.6,1,0.8,0.5,1.1,2,57.9,13.2,-1.4,2.4,1,0.5,4,4.5,-1.1,2.9,1.8,3.5
Boban Marjanovic,Dallas Mavericks,C,1,0,32,2021,3500000,33,8.2,4.7,1.9,3.7,50.8,0,0.2,12.5,0.9,1.2,81.6,1.4,2.5,3.9,0.3,0.4,0.1,0.2,0.9,56.2,23.1,0.4,-1.4,-0.9,-3.8,4.7,0.8,-0.5,-0.2,-0.7,0.3
Trey Burke,Dallas Mavericks,PG,1,0,27,2020,3150000,33,15.8,7.4,2.8,6.3,45,1,2.3,42.7,0.7,0.9,79.3,0.5,1,1.5,2.5,0.6,0.5,0.1,1,54.8,19.6,1.9,-0.7,1.3,2.5,-3.1,-0.6,2.1,-1.2,0.9,1
Sterling Brown,Dallas Mavericks,SG,1,0,25,2021,3000000,51,24.1,8.2,2.9,6.6,44.8,1.8,4.2,42.3,0.5,0.6,80.6,0.7,3.6,4.4,1.4,0.8,0.7,0.2,1.9,59.7,13.3,-1.1,-1.1,-2.2,-2.3,0.7,-1.6,-1.4,-0.8,-2.2,0.4
Marquese Chriss,Dallas Mavericks,PF,1,0,24,2021,2193920,2,13.4,6.5,2.5,7,35.7,0.5,2.5,20,1,2,50,1.5,5,6.5,1,1,0,1,1.5,41.2,25,-5.6,7.6,2,-24.5,-7.3,-31.7,-9.8,5,-4.8,0
Frank Ntilikina,Dallas Mavericks,PG,1,0,22,2021,1912787,33,9.8,2.7,0.9,2.4,36.7,0.7,1.5,47.9,0.2,0.5,44.4,0.2,0.8,0.9,0.6,0.3,0.5,0.1,1.4,51.2,13.4,-2.1,0.7,-1.4,-6.5,3,-3.5,-3.1,1.2,-2,0.1
Theo Pinson,Dallas Mavericks,SG,1,0,26,2022,1968175,19,7.8,2.5,0.7,2.1,35.9,0.5,1.6,33.3,0.5,0.5,100,0.1,1,1.1,0.9,0.3,0.3,0.1,0.6,55.3,13.8,-0.4,0.5,0.1,-10.1,2.7,-8.1,-2.6,0.9,-1.7,0.1
Facundo Campazzo,Dallas Mavericks,PG,1,0,31,2022,1836090,65,18.2,5.1,1.6,4.6,36.1,0.9,3,30.1,0.9,1.2,76.9,0.4,1.4,1.8,3.4,1,1,0.4,1.9,50.3,14.3,-0.8,1.7,1,-8.7,0.2,-8.9,-2.5,1.4,-1,1
Nikola Jokic,Denver Nuggets,C,0,1,22,2018,29542010,75,32.6,27.1,10.3,17.7,58.3,1.3,3.9,33.7,5.1,6.3,81,2.8,11,13.8,7.9,3.8,1.5,0.9,2.6,65,31,4.8,0.2,4.9,5.7,0.6,6.5,5.5,0.6,6.5,11.3
Jamal Murray,Denver Nuggets,PG,0,1,21,2019,31650600,75,32.6,18.2,6.8,15.6,43.7,2,5.5,36.7,2.5,3,84.8,0.9,3.4,4.2,4.8,2.1,0.9,0.4,2,53.8,24.1,1.1,0.6,1.7,3.4,-2,1.4,1.6,0.1,1.7,5.5
Michael Porter Jr,Denver Nuggets,SF,0,1,22,2021,34510000,61,31.3,19,7.3,13.4,54.2,2.8,6.3,44.5,1.7,2.2,79.1,1.5,5.8,7.3,1.1,1.3,0.7,0.9,2.1,66.3,21.4,2,-0.3,1.7,5.7,-1.4,4.3,2.8,-0.6,2.2,4.8
Aaron Gordon,Denver Nuggets,PF,0,1,25,2021,21650000,50,27.7,12.4,4.6,10,46.3,1.2,3.5,33.5,1.9,3,65.1,1.5,4.1,5.7,3.2,1.9,0.7,0.7,1.8,54.7,20.4,-0.9,1.1,0.2,1.3,1,2.3,-0.4,1.1,-0.7,2.4
Will Barton,Denver Nuggets,SF,1,0,30,2021,15000000,56,31,12.7,4.6,10.9,42.6,1.8,4.6,38.1,1.7,2.2,78.5,0.7,3.3,4,3.2,1.7,0.9,0.4,1.7,53.8,18.7,-0.8,-1.7,-2.5,2.9,-2.2,-0.7,-0.1,-1.9,-2,0.7
Monte Morris,Denver Nuggets,PG,0,1,24,2020,9258332,58,33,15.1,5.7,12.7,45,1.9,5,37.5,1.8,2.3,76.7,1.3,5,6.3,3.7,1.5,1.1,0.5,2.1,54.9,19.7,1,-2.4,-1.4,0.1,-1.1,-1,0.9,-2.3,-1.4,1.1
JaMychal Green,Denver Nuggets,PF,1,0,30,2021,8200000,58,19.3,8.1,3,6.4,46.3,1.4,3.4,39.9,0.8,1,80.7,1.5,3.3,4.8,0.9,0.9,0.4,0.4,2.5,59,17.2,0.4,-1.8,-1.4,-2,2,0,-0.1,-1.1,-1.2,0.9
Jeff Green,Denver Nuggets,PF,1,0,34,2021,4500000,68,27,11,3.8,7.8,49.2,1.5,3.7,41.2,1.8,2.4,77.6,0.5,3.4,3.9,1.6,0.8,0.5,0.4,1.8,62.4,15.4,-0.7,-0.7,-1.4,-0.4,-1.1,-1.5,-0.7,-0.8,-1.6,1.1
Bryn Forbes,Denver Nuggets,SG,1,0,28,2021,4500000,70,19.3,10,3.6,7.6,47.3,2.2,4.9,45.2,0.7,0.9,77,0.2,1.4,1.6,0.6,0.6,0.3,0,1.1,63.1,18,0.8,-3.9,-3,0.2,-1.8,1.6,0.7,-3.7,-3,-0.2
Austin Rivers,Denver Nuggets,PG,1,0,29,2021,2401537,36,23.5,7.9,2.9,6.8,42.4,1.5,4.1,36.9,0.6,0.9,71,0.2,2.1,2.3,2.3,1,0.8,0.1,1.8,55.1,15,-1.3,-0.3,-1.6,1.1,0.4,-0.6,-1.3,-0.2,-1.5,0.5
Bruce Brown Jr,Denver Nuggets,SG,1,0,25,2022,6640975,72,24.6,9,3.6,7,50.6,0.5,1.3,40.4,1.3,1.8,75.8,1.4,3.4,4.8,2.1,0.8,1.1,0.7,2.4,57.5,14.6,0.5,0.6,1.1,-0.3,-0.9,-1.2,0.3,0.3,0.7,3.3
