name,team,position,signed,extended,age at signing/extension,offseason_of_new_contract,new_contract_AAV,games_played,minutes,pts,fgm,fga,fgperc,3pm,3pa,3pperc,ftm,fta,ftperc,oreb,dreb,reb,ast,tov,stl,blk,pf,tsperc,usage,bs_rap_o,bs_rap_d,bs_rap_t,onoff_rap_o,onoff_rap_d,onoff_rap_t,ovr_rap_o,ovr_rap_d,ovr_rap_t,rap_war
Nerlens Noel,New York Knicks,C,1,0,27,2021,9240000,64,24.2,5.1,2.1,3.5,61.4,0,0,0,0.8,1.1,71.4,2.2,4.1,6.4,0.7,1,1.1,2.2,2.8,63.8,9.2,-3.4,3.9,0.5,1.4,-2.5,-1.1,-2.5,2.7,0.2,2.3
Kemba Walker,New York Knicks,PG,1,0,31,2021,8947246,43,31.8,19.3,6.6,15.7,42,3,8.2,36,3.1,3.5,89.9,0.4,3.6,4,4.9,2,1.1,0.3,1.4,55.9,25.6,3.6,0.6,4.2,2.1,-0.3,1.8,3.5,0.4,3.9,4.7
Taj Gibson,New York Knicks,C,1,0,35,2021,5050000,45,20.8,5.4,2.2,3.5,62.7,0.1,0.3,20,0.9,1.2,72.7,2.2,3.4,5.6,0.8,0.5,0.7,1.1,2.2,66.1,9.5,-0.4,4.7,4.3,2,2.6,4.6,0.1,4.4,4.5,4
Jericho Sims,New York Knicks,PF,1,0,23,2022,1886069,41,13.5,2.2,1,1.3,72.2,0,0,0,0.3,0.7,41.4,1.5,2.6,4.1,0.5,0.5,0.3,0.5,1.6,67.4,6.8,-3.1,1.1,-2,0,4,4,-2.7,1.8,-0.9,0.5
Jalen Brunson,New York Knicks,PG,1,0,25,2022,26000000,79,31.9,16.3,6.4,12.8,50.2,1.2,3.2,37.3,2.3,2.7,84,0.5,3.4,3.9,4.8,1.6,0.8,0,1.9,58.3,21.5,2.3,-0.2,2.2,3.4,-1.8,1.6,2.7,-0.5,2.1,7.8
Mitchell Robinson,New York Knicks,C,1,0,24,2022,15000000,72,25.7,8.5,3.6,4.8,76.1,0,0,0,1.2,2.5,48.6,4.1,4.5,8.6,0.5,0.8,0.8,1.8,2.7,72.2,11,0.5,3.4,3.9,0.4,-2.2,-1.8,0.5,2.4,2.9,5.3
RJ Barrett,New York Knicks,SG,0,1,22,2022,26750000,70,34.5,20,7,17.1,40.8,2,5.8,34.2,4.1,5.8,71.4,0.9,4.9,5.8,3,2.2,0.6,0.2,2,51.1,26.8,-0.3,-0.6,-0.9,-2,-2,-4,-0.7,-0.9,-1.6,1.5
Derrick Favors,Oklahoma City Thunder,C,1,0,29,2020,9720900,51,24.4,9,4.1,6.6,61.7,0,0.1,14.3,0.8,1.4,56.3,3.2,6.6,9.8,1.6,1.1,0.6,0.9,2.1,62,13.5,-0.1,2.6,2.5,3.9,1.9,5.8,0.7,2.7,3.4,3.9
Mike Muscala,Oklahoma City Thunder,C,1,0,29,2021,3500000,35,18.4,9.7,3.4,7.6,44.6,1.9,5.3,37,0.9,1,91.7,0.5,3.2,3.8,0.8,0.6,0.2,0.3,1.5,59.9,19.4,0.1,0.8,0.9,-1.1,6.3,5.2,0,2.1,2,1.6
Shai Gilgeous-Alexander,Oklahoma City Thunder,SG,0,1,23,2022,35849950,56,34.7,24.5,8.5,18.8,45.3,1.6,5.3,30,5.9,7.2,80.1,0.7,4.3,5,5.9,2.8,1.3,0.8,2.5,42.8,29,2.4,-1.4,1,2.1,-4.2,-2.1,2.5,-2,0.4,2.7
